date,open,high,low,close,volume,5 days moving average,next day open
2015-01-01,951,954,945,952,886235,951,950
2015-01-02,950,969,950,965,1475096,951,970
2015-01-05,970,971,955,957,1199000,957,954
2015-01-06,954,957,938,942,2054920,958,940
2015-01-07,940,951,936,945,1436528,955,954
2015-01-08,954,969,948,965,2381456,955,973
2015-01-09,973,980,967,976,2246296,958,969
2015-01-12,969,974,965,967,1031603,965,969
2015-01-13,969,972,956,963,1457087,970,960
2015-01-14,960,975,960,964,921308,966,990
2015-01-15,990,998,971,993,2849619,972,1002
2015-01-16,1002,1015,999,1001,1955327,978,1013
2015-01-19,1013,1020,1003,1005,1059873,1002,1010
2015-01-20,1010,1027,1002,1021,2126451,1008,1027
2015-01-21,1027,1033,1018,1020,1685153,1017,1025
2015-01-22,1025,1033,1019,1021,1617670,1019,1030
2015-01-23,1030,1048,1024,1043,2496978,1021,1043
2015-01-27,1043,1078,1041,1074,2490600,1037,1070
2015-01-28,1070,1093,1055,1058,2841235,1057,1075
2015-01-29,1075,1101,1061,1095,5141904,1063,1095
2015-01-30,1095,1095,1064,1077,2642604,1071,1069
2015-02-02,1069,1093,1052,1082,1427588,1080,1079
2015-02-03,1079,1082,1055,1064,2550172,1081,1063
2015-02-04,1063,1081,1057,1068,1549378,1070,1075
2015-02-05,1075,1093,1070,1077,2014787,1072,1077
2015-02-06,1077,1079,1050,1054,1725780,1073,1047
2015-02-09,1047,1052,1035,1040,1307974,1066,1030
2015-02-10,1030,1062,1030,1054,2318938,1051,1058
2015-02-11,1058,1065,1053,1058,1040397,1045,1065
2015-02-12,1065,1082,1053,1076,1381435,1050,1081
2015-02-13,1081,1082,1064,1066,1928625,1056,1076
2015-02-16,1076,1085,1063,1068,1847179,1074,1068
2015-02-18,1068,1083,1057,1075,1345423,1072,1074
2015-02-19,1074,1085,1064,1080,1126751,1073,1083
2015-02-20,1083,1090,1069,1073,1551506,1075,1077
2015-02-23,1077,1082,1062,1068,1395391,1078,1070
2015-02-24,1070,1071,1057,1068,1461572,1077,1070
2015-02-25,1070,1075,1050,1052,1162131,1072,1054
2015-02-26,1054,1056,1035,1038,3106736,1068,1045
2015-02-27,1045,1059,1045,1054,2565446,1063,1080
2015-03-02,1080,1099,1068,1083,3596308,1060,1086
2015-03-03,1086,1092,1077,1083,1507337,1070,1105
2015-03-04,1105,1109,1060,1065,3069406,1090,1065
2015-03-05,1065,1090,1063,1085,2425613,1084,1077
2015-03-09,1077,1082,1056,1059,1438952,1071,1062
2015-03-10,1062,1062,1045,1053,1283709,1070,1051
2015-03-11,1051,1062,1050,1056,1366384,1063,1060
2015-03-12,1060,1064,1051,1055,1882709,1063,1060
2015-03-13,1060,1064,1035,1043,1356695,1062,1045
2015-03-16,1045,1058,1043,1052,1337193,1055,1060
2015-03-17,1060,1066,1043,1058,1342326,1055,1060
2015-03-18,1060,1072,1053,1064,1287083,1055,1071
2015-03-19,1071,1074,1049,1052,1343393,1059,1051
2015-03-20,1051,1060,1046,1056,1620809,1057,1056
2015-03-23,1056,1059,1046,1048,1361685,1059,1043
2015-03-24,1043,1057,1035,1038,2243391,1050,1040
2015-03-25,1040,1047,1031,1034,2652225,1046,1027
2015-03-26,1027,1032,1002,1007,8950155,1042,1015
2015-03-27,1015,1024,1008,1015,2710224,1036,1020
2015-03-30,1020,1039,1013,1037,1738786,1021,1040
2015-03-31,1040,1040,1015,1023,1490564,1025,1026
2015-04-01,1026,1037,1013,1033,961049,1029,1035
2015-04-06,1035,1037,1020,1032,1787793,1035,1033
2015-04-07,1033,1038,1024,1033,1549268,1034,1040
2015-04-08,1040,1042,1030,1036,1026536,1036,1038
2015-04-09,1038,1059,1030,1056,1750696,1037,1053
2015-04-10,1053,1053,1035,1043,1529831,1040,1040
2015-04-13,1040,1046,1035,1039,1140809,1044,1040
2015-04-15,1040,1049,1025,1032,1223499,1040,1028
2015-04-16,1028,1034,1018,1030,1402530,1036,1025
2015-04-17,1025,1028,1016,1018,1012253,1033,1020
2015-04-20,1020,1025,1003,1005,1297220,1024,1005
2015-04-21,1005,1014,996,1003,1627686,1017,1007
2015-04-22,1007,1021,994,1013,1691484,1011,1020
2015-04-23,1020,1024,1006,1014,2406957,1013,1019
2015-04-24,1019,1019,1000,1006,1801311,1014,1007
2015-04-27,1007,1013,996,1005,1842676,1015,1000
2015-04-28,1000,1011,990,1005,1985527,1009,1004
2015-04-29,1004,1010,988,993,1965891,1004,991
2015-04-30,991,995,979,989,3785921,1001,994
2015-05-04,994,1010,992,1001,785362,993,999
2015-05-05,999,1004,986,988,1284501,997,988
2015-05-06,988,988,966,971,2751924,994,968
2015-05-07,968,970,944,951,2934166,987,962
2015-05-08,962,988,955,982,2892983,982,986
2015-05-11,986,993,974,990,1682836,972,990
2015-05-12,990,990,967,972,2776892,979,976
2015-05-13,976,993,972,990,1947962,984,989
2015-05-14,989,995,974,991,1113797,985,995
2015-05-15,995,998,984,990,2038406,987,996
2015-05-18,996,1012,992,1010,1428326,993,1006
2015-05-19,1006,1018,998,1008,1196587,999,1010
2015-05-20,1010,1027,1010,1024,1002210,1004,1024
2015-05-21,1024,1030,1015,1025,983595,1009,1025
2015-05-22,1025,1029,1018,1024,1172384,1012,1028
2015-05-25,1028,1031,1018,1024,1092265,1026,1024
2015-05-26,1024,1030,1018,1027,1226586,1026,1024
2015-05-27,1024,1040,1021,1038,804648,1025,1039
2015-05-28,1039,1044,1022,1029,2390290,1029,1030
2015-05-29,1030,1054,1027,1051,1264670,1029,1049
2015-06-01,1049,1056,1031,1036,960330,1039,1038
2015-06-02,1038,1040,1005,1009,1181502,1039,1009
2015-06-03,1009,1017,998,1006,1456208,1032,1009
2015-06-04,1009,1018,995,1015,1389397,1026,1010
2015-06-05,1010,1019,1003,1012,1688465,1023,1004
2015-06-08,1004,1012,996,1003,952999,1008,1005
2015-06-09,1005,1006,997,1002,1510065,1006,998
2015-06-10,998,1019,997,1016,1996562,1002,1018
2015-06-11,1018,1019,995,1000,2273544,1006,1001
2015-06-12,1001,1011,990,1009,1632086,1005,1002
2015-06-15,1002,1014,1000,1005,1499957,1007,1000
2015-06-16,1000,1010,997,1008,1502631,1001,1009
2015-06-17,1009,1014,1000,1005,2421567,1004,1006
2015-06-18,1006,1024,1002,1020,2107929,1004,1025
2015-06-19,1025,1035,1013,1031,935581,1008,1032
2015-06-22,1032,1057,1029,1047,1362413,1021,1052
2015-06-23,1052,1061,1043,1052,1413795,1036,1054
2015-06-24,1054,1058,1043,1046,1566849,1046,1048
2015-06-25,1048,1071,1043,1065,4143392,1047,1067
2015-06-26,1067,1071,1052,1063,1411876,1051,1045
2015-06-29,1045,1062,1031,1057,1621959,1053,1052
2015-06-30,1052,1072,1048,1067,1822534,1055,1061
2015-07-01,1061,1077,1060,1072,1242797,1053,1065
