date,open,high,low,close,volume,5DMA,10DMA,20DMA,50DMA,next day open
2018-01-01,1873,1881,1851,1855,1645129,1870,1872,1866,1847,1859
2018-01-02,1859,1875,1859,1872,1194079,1870,1870,1869,1848,1875
2018-01-03,1875,1878,1851,1853,1132822,1869,1871,1873,1850,1853
2018-01-04,1853,1866,1853,1860,593444,1865,1868,1872,1852,1863
2018-01-05,1863,1868,1856,1864,717717,1865,1866,1872,1853,1865
2018-01-08,1865,1871,1858,1861,1142577,1860,1865,1872,1854,1862
2018-01-09,1862,1870,1855,1864,1326382,1863,1864,1869,1855,1865
2018-01-10,1865,1868,1857,1864,1153972,1864,1864,1868,1856,1864
2018-01-11,1864,1876,1856,1873,1014774,1864,1863,1867,1856,1873
2018-01-12,1873,1878,1860,1865,1084177,1866,1865,1867,1857,1870
2018-01-15,1870,1904,1860,1898,3144111,1869,1867,1866,1858,1903
2018-01-16,1903,1910,1885,1900,1611346,1882,1872,1869,1859,1897
2018-01-17,1897,1903,1887,1891,726374,1890,1875,1871,1860,1924
2018-01-18,1924,1954,1918,1934,4162385,1899,1882,1875,1862,1935
2018-01-19,1935,1960,1919,1952,2863997,1906,1891,1879,1864,1960
2018-01-22,1960,1988,1953,1963,2212442,1940,1915,1886,1867,1965
2018-01-23,1965,1967,1943,1951,1261949,1953,1922,1893,1870,1953
2018-01-24,1953,1969,1951,1958,1197642,1959,1926,1900,1874,1954
2018-01-25,1954,1980,1951,1975,2180917,1958,1936,1906,1877,1978
2018-01-29,1978,2007,1978,2000,2058973,1966,1962,1919,1884,1998
2018-01-30,1998,2002,1984,1996,1599390,1988,1968,1929,1889,1989
2018-01-31,1989,2014,1987,2006,1735837,1988,1971,1938,1893,2006
2018-02-01,2006,2015,1985,1991,1630355,1993,1978,1949,1898,1986
2018-02-02,1986,1990,1942,1948,1836531,1991,1981,1951,1903,1918
2018-02-05,1918,1935,1906,1914,1981696,1970,1979,1959,1905,1860
2018-02-06,1860,1912,1836,1897,2687451,1921,1962,1956,1905,1907
2018-02-07,1907,1907,1862,1873,2091243,1895,1955,1955,1906,1884
2018-02-08,1884,1899,1867,1881,1292861,1892,1944,1951,1905,1848
2018-02-09,1848,1865,1844,1850,1602238,1883,1925,1943,1905,1860
2018-02-12,1860,1886,1855,1877,1095277,1864,1880,1934,1904,1890
2018-02-14,1890,1898,1875,1883,894297,1875,1881,1927,1904,1890
2018-02-15,1890,1895,1875,1882,1228806,1880,1877,1924,1905,1884
2018-02-16,1884,1895,1876,1879,895880,1881,1880,1921,1906,1883
2018-02-19,1883,1888,1859,1878,913638,1886,1881,1908,1906,1885
2018-02-20,1885,1886,1859,1863,1021017,1884,1882,1900,1906,1868
2018-02-21,1868,1869,1852,1857,688268,1879,1880,1889,1906,1850
2018-02-22,1850,1860,1842,1853,3313399,1872,1879,1879,1906,1857
2018-02-23,1857,1885,1850,1881,1019187,1869,1876,1877,1906,1888
2018-02-26,1888,1915,1884,1912,1197221,1865,1872,1876,1906,1915
2018-02-27,1915,1922,1900,1903,1196832,1887,1878,1877,1908,1890
2018-02-28,1890,1895,1878,1884,1016591,1898,1880,1878,1909,1879
2018-03-01,1879,1893,1868,1874,977460,1893,1879,1880,1909,1874
2018-03-05,1874,1878,1858,1870,945366,1877,1889,1881,1911,1870
2018-03-06,1870,1880,1840,1846,1144207,1872,1886,1879,1911,1840
2018-03-07,1840,1853,1829,1833,1407041,1861,1879,1876,1909,1840
2018-03-08,1840,1859,1832,1853,1379681,1856,1873,1872,1907,1855
2018-03-09,1855,1865,1844,1851,1027027,1856,1864,1871,1905,1860
2018-03-12,1860,1869,1853,1867,1639279,1852,1857,1868,1903,1867
2018-03-13,1867,1885,1855,1860,1281050,1861,1858,1868,1900,1856
2018-03-14,1856,1868,1848,1865,920098,1861,1858,1869,1896,1865
2018-03-15,1865,1888,1865,1881,1467731,1862,1857,1869,1894,1880
2018-03-16,1880,1881,1847,1853,1974084,1866,1858,1870,1892,1853
2018-03-19,1853,1860,1843,1847,1959685,1866,1864,1864,1890,1845
2018-03-20,1845,1856,1835,1840,914343,1859,1861,1860,1886,1848
2018-03-21,1848,1863,1843,1859,1480285,1849,1859,1858,1882,1859
2018-03-22,1859,1880,1855,1868,1668306,1851,1859,1858,1878,1847
2018-03-23,1847,1853,1837,1842,1797538,1850,1857,1857,1874,1840
2018-03-26,1840,1900,1834,1893,2625442,1849,1849,1854,1869,1894
2018-03-27,1894,1899,1876,1893,1534209,1860,1855,1858,1869,1883
2018-03-28,1883,1900,1876,1886,2209377,1872,1859,1861,1869,1891
2018-04-02,1891,1936,1891,1931,1149092,1891,1877,1863,1869,1924
2018-04-03,1924,1926,1911,1916,1019971,1908,1886,1869,1871,1913
2018-04-04,1913,1925,1878,1883,928527,1909,1891,1873,1872,1901
2018-04-05,1901,1914,1890,1909,1214723,1907,1901,1875,1873,1912
2018-04-06,1912,1926,1906,1923,930002,1908,1904,1878,1873,1919
2018-04-09,1919,1942,1916,1939,1000884,1911,1910,1886,1874,1943
2018-04-10,1943,1943,1914,1921,1516809,1925,1915,1894,1876,1916
2018-04-11,1916,1920,1905,1919,717703,1926,1915,1899,1877,1916
2018-04-12,1916,1933,1906,1929,1178129,1924,1918,1904,1878,1928
2018-04-13,1928,1940,1919,1925,824293,1924,1919,1906,1881,1920
2018-04-16,1920,1950,1920,1942,711936,1921,1924,1914,1883,1944
2018-04-17,1944,1951,1934,1949,666958,1931,1927,1919,1884,1951
2018-04-18,1951,1954,1930,1933,678180,1938,1930,1921,1886,1940
2018-04-19,1940,1945,1933,1939,792258,1939,1932,1923,1887,1941
2018-04-20,1941,1961,1932,1956,2340345,1939,1932,1924,1889,1979
2018-04-23,1979,1979,1860,1936,3826155,1953,1946,1930,1892,1935
2018-04-24,1935,1948,1926,1935,1259354,1952,1944,1932,1893,1928
2018-04-25,1928,1938,1912,1921,1005148,1947,1942,1934,1895,1917
2018-04-26,1917,1939,1911,1930,1961870,1940,1942,1934,1897,1933
2018-04-27,1933,1936,1913,1923,1444252,1938,1941,1934,1900,1930
2018-04-30,1930,1955,1929,1944,1152388,1927,1937,1934,1902,1950
2018-05-02,1950,1978,1946,1970,1775012,1940,1939,1938,1906,1968
2018-05-03,1968,1975,1946,1968,1038193,1949,1937,1941,1909,1970
2018-05-04,1970,1990,1966,1989,1720359,1955,1942,1943,1913,1982
2018-05-07,1982,1987,1975,1977,1316032,1973,1960,1948,1916,1979
2018-05-08,1979,1980,1955,1967,1775141,1977,1963,1950,1920,1956
2018-05-09,1956,1981,1956,1978,1081833,1972,1962,1951,1923,1989
2018-05-10,1989,1999,1982,1993,1792918,1977,1971,1955,1927,1993
2018-05-11,1993,2017,1986,2012,1514267,1980,1973,1958,1931,2017
2018-05-14,2017,2027,2012,2022,1185729,2000,1986,1962,1936,2027
2018-05-15,2027,2065,2027,2038,2456671,2012,1992,1970,1942,2031
2018-05-16,2031,2049,2017,2023,1710401,2025,1997,1979,1946,2024
2018-05-17,2024,2044,2013,2028,1653869,2025,2002,1986,1951,2025
2018-05-18,2025,2025,2004,2012,1304365,2025,2008,1989,1953,2016
2018-05-21,2016,2021,1986,1993,1212027,2022,2023,1995,1955,1999
2018-05-22,1999,2014,1986,1990,990093,2013,2020,1998,1958,1988
2018-05-23,1988,1994,1963,1968,1431573,2001,2016,2000,1959,1967
2018-05-24,1967,1990,1956,1986,1130186,1993,2010,2000,1961,1990
2018-05-25,1990,2016,1990,2009,1189897,1992,2005,1999,1964,2008
2018-05-28,2008,2052,2006,2042,1275985,1988,1995,2002,1966,2038
2018-05-29,2038,2053,2029,2033,837811,2012,2001,2008,1970,2020
2018-05-30,2020,2053,2016,2048,1216749,2022,2003,2010,1972,2100
2018-05-31,2100,2160,2080,2139,9909798,2042,2014,2018,1977,2116
2018-06-01,2116,2138,2101,2111,5287839,2056,2028,2024,1983,2150
2018-06-04,2150,2157,2038,2046,22199081,2122,2072,2034,1989,2050
2018-06-05,2050,2067,2023,2064,4276365,2105,2069,2035,1993,2060
2018-06-06,2060,2065,2045,2057,2445500,2087,2068,2038,1996,2073
2018-06-07,2073,2080,2053,2062,2640974,2083,2076,2041,2000,2059
2018-06-08,2059,2061,2035,2049,1545222,2078,2079,2042,2003,2052
2018-06-11,2052,2063,2039,2042,1772797,2061,2074,2048,2006,2052
2018-06-12,2052,2053,2038,2044,1308564,2054,2071,2053,2008,2052
2018-06-13,2052,2055,2024,2031,1974490,2052,2069,2059,2012,2030
2018-06-14,2030,2045,2025,2037,4231894,2047,2054,2061,2015,2026
2018-06-15,2026,2039,2022,2030,2720204,2042,2051,2059,2018,2030
2018-06-18,2030,2039,2009,2019,1871851,2029,2040,2062,2020,2025
2018-06-19,2025,2041,2019,2024,2745288,2027,2038,2063,2023,2026
2018-06-20,2026,2058,2025,2056,2262928,2027,2037,2057,2023,2060
2018-06-21,2060,2071,2047,2058,3377676,2035,2038,2053,2026,2057
2018-06-22,2057,2089,2050,2083,1962245,2040,2038,2053,2029,2083
2018-06-25,2083,2098,2073,2095,1748084,2067,2047,2049,2032,2086
2018-06-26,2086,2103,2080,2094,2290483,2075,2052,2051,2035,2093
2018-06-27,2093,2120,2090,2113,4781701,2087,2058,2052,2038,2115
